Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
11,2,34,4,7.0,5311.0,1600.0,44.0,6.0,4.0,,16.0
11,1,45,4,7.0,7131.0,2000.0,40.0,6.0,3.0,,16.0
11,2,45,4,7.0,2341.0,8000.0,40.0,4.0,9.0,,16.0
11,1,52,2,5.0,5221.0,1300.0,44.0,6.0,6.0,,12.0
11,2,54,4,7.0,2341.0,2000.0,40.0,4.0,9.0,,16.0
11,1,42,1,5.0,8332.0,1800.0,62.0,3.0,4.0,1.0,12.0
11,1,43,1,5.0,6111.0,1500.0,50.0,6.0,1.0,,12.0
11,1,36,4,5.0,6121.0,2000.0,60.0,6.0,1.0,,12.0
11,1,43,4,5.0,6121.0,2800.0,44.0,6.0,1.0,,12.0
11,2,40,1,7.0,2342.0,4200.0,44.0,4.0,9.0,,16.0
11,1,43,1,2.0,6112.0,3000.0,60.0,6.0,1.0,,3.0
11,1,30,2,5.0,7115.0,3500.0,48.0,6.0,3.0,,12.0
11,1,27,4,5.0,6111.0,3600.0,60.0,6.0,1.0,,12.0
11,1,27,1,5.0,6121.0,1000.0,60.0,6.0,1.0,,12.0
11,1,22,4,5.0,6112.0,1200.0,60.0,6.0,1.0,,12.0
11,2,51,1,2.0,6111.0,1700.0,60.0,6.0,1.0,,5.0
11,1,61,1,5.0,5120.0,1700.0,44.0,3.0,7.0,2.0,12.0
11,2,54,4,5.0,5221.0,2000.0,40.0,6.0,6.0,,12.0
11,2,33,4,7.0,5243.0,2000.0,40.0,6.0,4.0,,16.0
11,1,45,4,2.0,9313.0,1500.0,40.0,6.0,3.0,,5.0
11,2,38,4,5.0,4311.0,2100.0,44.0,3.0,7.0,1.0,12.0
11,1,45,2,2.0,7411.0,2500.0,44.0,3.0,3.0,1.0,5.0
11,1,54,1,7.0,3113.0,1700.0,40.0,6.0,3.0,,16.0
11,2,44,4,5.0,9112.0,1600.0,40.0,3.0,4.0,1.0,12.0
11,1,39,4,2.0,9111.0,1600.0,40.0,1.0,11.0,1.0,8.0
11,1,52,1,1.0,6111.0,3000.0,50.0,6.0,1.0,,0.0
11,2,39,1,5.0,6111.0,3000.0,50.0,6.0,1.0,,12.0
11,1,59,2,2.0,9212.0,1320.0,40.0,6.0,1.0,,5.0
11,1,61,1,5.0,6121.0,2000.0,44.0,6.0,1.0,,12.0
11,1,63,1,5.0,6121.0,2000.0,44.0,6.0,1.0,,12.0
11,1,35,1,3.0,6111.0,1000.0,40.0,6.0,1.0,,9.0
11,1,34,4,3.0,6111.0,800.0,40.0,6.0,1.0,,9.0
11,1,56,1,2.0,6121.0,2500.0,40.0,6.0,1.0,,5.0
11,2,47,1,2.0,5141.0,1600.0,20.0,6.0,10.0,,4.0
11,1,40,1,2.0,6111.0,6250.0,50.0,6.0,1.0,,8.0
11,2,37,1,2.0,6111.0,6250.0,50.0,6.0,1.0,,8.0
11,1,32,1,5.0,6121.0,1000.0,40.0,6.0,1.0,,13.0
11,1,25,1,5.0,6121.0,1000.0,40.0,6.0,1.0,,13.0
11,1,23,4,3.0,6121.0,1600.0,40.0,6.0,1.0,,9.0
11,1,59,1,2.0,6121.0,1600.0,40.0,6.0,1.0,,5.0
11,2,44,4,5.0,3253.0,3000.0,40.0,4.0,8.0,,12.0
11,1,46,4,4.0,6121.0,5000.0,40.0,6.0,1.0,,11.0
11,2,54,1,5.0,5120.0,1800.0,40.0,4.0,9.0,,12.0
11,1,60,4,2.0,6121.0,1600.0,40.0,6.0,1.0,,8.0
11,2,52,1,2.0,6111.0,1500.0,40.0,6.0,1.0,,5.0
11,1,52,2,2.0,6121.0,2500.0,40.0,3.0,1.0,1.0,3.0
11,2,20,4,5.0,5312.0,1320.0,40.0,3.0,9.0,1.0,12.0
11,1,47,4,3.0,8331.0,1800.0,40.0,3.0,9.0,1.0,9.0
11,2,22,4,5.0,9112.0,1320.0,40.0,3.0,9.0,1.0,12.0
11,2,37,4,2.0,6121.0,1800.0,40.0,6.0,1.0,,5.0
11,1,36,1,5.0,6121.0,1800.0,40.0,6.0,1.0,,12.0
11,1,48,4,2.0,6121.0,1800.0,40.0,6.0,1.0,,5.0
11,1,20,4,5.0,5312.0,1320.0,40.0,3.0,9.0,1.0,12.0
11,1,39,4,3.0,6121.0,2500.0,40.0,3.0,1.0,1.0,9.0
11,1,63,4,2.0,1411.0,9000.0,52.0,5.0,6.0,,5.0
11,2,56,4,3.0,1411.0,9000.0,48.0,5.0,6.0,,9.0
11,1,22,4,5.0,6121.0,1000.0,40.0,6.0,1.0,,12.0
11,1,39,4,5.0,6121.0,1320.0,50.0,3.0,1.0,1.0,12.0
11,1,31,4,4.0,6121.0,2000.0,40.0,6.0,1.0,,11.0
11,1,31,1,4.0,9212.0,2000.0,44.0,3.0,1.0,1.0,10.0
11,1,66,1,2.0,6121.0,3000.0,28.0,5.0,1.0,,5.0
11,1,49,4,2.0,9111.0,400.0,8.0,1.0,11.0,2.0,4.0
11,1,30,1,7.0,7231.0,5000.0,44.0,5.0,4.0,,16.0
11,2,52,4,2.0,9111.0,600.0,15.0,1.0,11.0,2.0,2.0
11,1,51,1,2.0,9212.0,600.0,15.0,3.0,1.0,2.0,5.0
11,2,44,2,3.0,9111.0,800.0,24.0,1.0,11.0,2.0,9.0
11,1,46,4,5.0,8331.0,3300.0,40.0,4.0,8.0,,12.0
11,1,21,1,5.0,5223.0,1312.0,45.0,3.0,4.0,1.0,12.0
11,2,24,1,5.0,3119.0,3000.0,45.0,3.0,2.0,1.0,12.0
11,1,51,4,5.0,8332.0,1700.0,60.0,3.0,5.0,2.0,12.0
11,2,36,4,2.0,9111.0,500.0,30.0,1.0,11.0,2.0,7.0
11,2,22,1,6.0,4120.0,1700.0,40.0,3.0,10.0,1.0,14.0
11,1,64,4,2.0,9629.0,0.0,14.0,6.0,7.0,,3.0
11,2,52,1,7.0,1345.0,6000.0,40.0,4.0,9.0,,16.0
11,1,53,1,5.0,6121.0,0.0,44.0,6.0,1.0,,12.0
11,1,71,4,1.0,5243.0,5000.0,16.0,6.0,4.0,,0.0
11,2,44,4,5.0,9334.0,1500.0,48.0,3.0,4.0,1.0,12.0
11,2,16,4,4.0,9112.0,1600.0,48.0,3.0,4.0,2.0,11.0
11,1,23,4,5.0,5141.0,2000.0,48.0,3.0,10.0,2.0,12.0
11,2,32,4,5.0,4110.0,1477.0,56.0,3.0,4.0,1.0,12.0
11,1,31,4,7.0,1420.0,1900.0,56.0,3.0,4.0,1.0,16.0
11,2,17,4,4.0,7132.0,750.0,30.0,3.0,2.0,2.0,10.0
11,2,53,4,7.0,4120.0,1500.0,44.0,3.0,2.0,2.0,16.0
11,1,52,1,2.0,7212.0,10000.0,44.0,6.0,2.0,,6.0
11,1,33,4,6.0,5163.0,4000.0,62.0,3.0,10.0,1.0,15.0
11,1,55,1,5.0,6121.0,5500.0,30.0,6.0,1.0,,12.0
11,2,40,4,7.0,5221.0,2500.0,44.0,5.0,4.0,,16.0
11,1,36,1,7.0,2261.0,4000.0,40.0,6.0,9.0,,16.0
11,1,17,4,4.0,5223.0,500.0,24.0,3.0,4.0,2.0,10.0
11,1,63,2,5.0,9313.0,2500.0,40.0,6.0,3.0,,13.0
11,1,63,4,7.0,2636.0,7500.0,70.0,3.0,10.0,2.0,15.0
11,2,30,4,7.0,2221.0,6800.0,80.0,4.0,9.0,,16.0
11,1,36,4,5.0,5414.0,2500.0,40.0,3.0,7.0,1.0,12.0
11,1,48,2,5.0,8332.0,1600.0,48.0,3.0,5.0,1.0,12.0
11,1,43,4,7.0,4312.0,7500.0,30.0,4.0,7.0,,16.0
11,2,44,4,7.0,2341.0,4000.0,28.0,4.0,9.0,1.0,16.0
11,2,36,4,5.0,5120.0,7200.0,46.0,3.0,6.0,1.0,12.0
11,2,43,3,5.0,5120.0,1500.0,44.0,6.0,6.0,,12.0
11,2,17,3,4.0,4110.0,1320.0,20.0,4.0,8.0,2.0,10.0
11,1,40,4,6.0,2619.0,3500.0,40.0,3.0,7.0,1.0,16.0
11,2,51,4,7.0,2341.0,4500.0,40.0,4.0,9.0,,16.0
11,1,44,4,5.0,7522.0,3000.0,44.0,6.0,2.0,,12.0
11,2,34,4,7.0,5221.0,2500.0,44.0,5.0,4.0,,16.0
11,1,34,4,5.0,5221.0,2500.0,44.0,5.0,4.0,,12.0
11,2,25,4,7.0,2221.0,2800.0,44.0,3.0,9.0,1.0,16.0
