Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
15,2,34,2,7.0,2166,3000.0,40.0,3.0,7.0,2.0,16.0
15,1,33,2,5.0,7421,1000.0,30.0,6.0,3.0,,12.0
15,1,25,4,5.0,7422,1300.0,20.0,6.0,10.0,,12.0
15,2,41,4,4.0,3513,1980.0,44.0,3.0,7.0,1.0,11.0
15,1,22,4,5.0,3513,1550.0,45.0,3.0,7.0,1.0,12.0
15,1,24,2,5.0,7422,1300.0,30.0,3.0,7.0,2.0,12.0
15,1,29,4,6.0,3521,1800.0,40.0,5.0,7.0,,13.0
15,1,55,1,5.0,7421,6600.0,40.0,4.0,8.0,,12.0
15,1,46,4,7.0,2511,7000.0,40.0,3.0,7.0,1.0,14.0
15,1,36,4,7.0,2511,9000.0,30.0,4.0,7.0,,16.0
15,1,22,1,6.0,3511,800.0,20.0,4.0,9.0,2.0,13.0
15,1,24,4,5.0,7422,800.0,40.0,3.0,3.0,2.0,12.0
15,1,50,4,5.0,3113,17000.0,44.0,3.0,4.0,1.0,12.0
15,1,48,4,5.0,3113,11000.0,44.0,3.0,2.0,1.0,12.0
15,1,50,1,7.0,3113,6000.0,44.0,3.0,2.0,1.0,14.0
15,1,28,1,7.0,7422,1600.0,44.0,3.0,7.0,1.0,16.0
15,2,20,4,4.0,7422,500.0,20.0,3.0,10.0,2.0,11.0
15,1,32,4,7.0,3511,10500.0,44.0,3.0,7.0,1.0,16.0
15,1,28,4,7.0,3511,14160.0,44.0,3.0,7.0,1.0,16.0
15,2,28,4,6.0,3114,2500.0,44.0,3.0,7.0,1.0,13.0
15,2,26,4,7.0,2166,6000.0,44.0,3.0,7.0,1.0,16.0
15,1,36,4,7.0,3513,5500.0,40.0,4.0,8.0,,16.0
15,1,33,1,7.0,7422,2000.0,44.0,3.0,4.0,1.0,14.0
15,1,27,4,7.0,2529,2735.0,40.0,3.0,7.0,1.0,16.0
15,1,27,1,6.0,2166,200.0,20.0,6.0,7.0,,14.0
15,1,51,4,7.0,2511,15000.0,45.0,5.0,7.0,,16.0
15,2,24,4,5.0,3511,5250.0,40.0,3.0,7.0,1.0,12.0
15,1,29,4,7.0,2151,4000.0,30.0,6.0,7.0,,16.0
15,1,34,4,7.0,2511,24000.0,60.0,4.0,8.0,,16.0
15,2,33,1,7.0,1330,16000.0,40.0,3.0,7.0,2.0,16.0
15,2,40,4,7.0,2166,2500.0,40.0,6.0,7.0,,16.0
15,1,28,4,5.0,3113,3500.0,44.0,3.0,2.0,1.0,12.0
15,1,37,1,5.0,7422,3000.0,48.0,6.0,10.0,,12.0
15,1,17,2,3.0,7422,400.0,40.0,3.0,10.0,2.0,9.0
15,1,47,1,7.0,2511,15000.0,40.0,4.0,5.0,1.0,16.0
15,1,21,4,5.0,3514,4500.0,40.0,3.0,7.0,1.0,12.0
15,1,23,4,6.0,3521,1500.0,44.0,3.0,7.0,1.0,15.0
15,1,66,4,5.0,3521,2700.0,36.0,3.0,7.0,1.0,13.0
15,1,34,4,5.0,3114,2824.0,36.0,3.0,2.0,1.0,12.0
15,1,30,4,4.0,7422,1500.0,44.0,3.0,7.0,1.0,11.0
15,1,23,2,5.0,3513,1540.0,44.0,3.0,7.0,1.0,13.0
15,1,19,4,3.0,2166,1650.0,44.0,3.0,7.0,1.0,9.0
15,1,43,4,7.0,2166,6800.0,60.0,3.0,7.0,1.0,16.0
15,2,33,1,7.0,4132,1412.0,40.0,3.0,10.0,2.0,16.0
15,1,29,1,5.0,3113,3000.0,40.0,6.0,3.0,,12.0
15,1,24,1,5.0,7422,1500.0,40.0,6.0,10.0,,12.0
15,1,45,4,2.0,7421,500.0,40.0,6.0,10.0,,6.0
15,1,16,4,3.0,7421,,5.0,7.0,10.0,,9.0
15,2,38,4,7.0,2512,0.0,63.0,6.0,7.0,,15.0
15,1,29,4,5.0,3114,1800.0,40.0,3.0,4.0,2.0,12.0
