Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
15,1,56,1,5.0,3114,2000.0,40.0,6.0,10.0,,12.0
15,1,27,4,7.0,2522,2206.0,40.0,3.0,7.0,1.0,16.0
15,1,58,2,5.0,3521,1500.0,20.0,6.0,10.0,,12.0
15,1,39,4,5.0,7422,800.0,25.0,6.0,10.0,,12.0
15,1,27,1,6.0,2166,1000.0,50.0,6.0,7.0,,14.0
15,1,26,1,7.0,3514,1500.0,44.0,3.0,7.0,1.0,16.0
15,1,31,1,7.0,2511,4700.0,40.0,3.0,5.0,1.0,16.0
15,1,51,4,7.0,2511,7000.0,40.0,5.0,7.0,,16.0
15,1,55,4,2.0,7422,1500.0,50.0,6.0,10.0,,3.0
15,1,55,1,5.0,7422,3000.0,44.0,6.0,10.0,,12.0
15,1,21,1,6.0,3113,900.0,20.0,4.0,9.0,2.0,16.0
15,1,40,4,5.0,3513,2600.0,40.0,3.0,7.0,1.0,12.0
15,1,67,4,1.0,3521,2000.0,40.0,6.0,7.0,,0.0
15,2,26,4,5.0,4132,0.0,32.0,4.0,8.0,2.0,12.0
15,1,34,4,7.0,2511,25000.0,60.0,4.0,8.0,,16.0
15,2,33,1,7.0,2511,25000.0,60.0,6.0,7.0,,16.0
15,1,38,4,7.0,3113,3000.0,40.0,3.0,2.0,1.0,16.0
15,1,37,1,5.0,7422,3000.0,44.0,6.0,10.0,,12.0
15,1,17,2,3.0,7422,400.0,25.0,3.0,10.0,2.0,9.0
15,1,42,4,7.0,1330,30000.0,40.0,4.0,8.0,1.0,16.0
15,1,66,4,5.0,3521,4200.0,42.0,3.0,7.0,1.0,13.0
15,1,30,4,4.0,7422,2200.0,56.0,3.0,3.0,1.0,11.0
15,1,26,1,7.0,3513,1800.0,40.0,3.0,7.0,1.0,16.0
15,1,29,1,5.0,3114,10000.0,40.0,5.0,10.0,,12.0
15,1,24,1,5.0,7422,1300.0,48.0,6.0,10.0,,12.0
15,1,34,1,5.0,7422,1000.0,38.0,6.0,10.0,,12.0
15,1,26,1,7.0,3513,1950.0,40.0,3.0,7.0,1.0,15.0
15,1,44,2,7.0,2511,15000.0,40.0,4.0,8.0,1.0,16.0
15,1,26,4,5.0,7422,2200.0,45.0,3.0,7.0,1.0,12.0
15,1,47,1,7.0,3114,600.0,40.0,6.0,10.0,,16.0
15,1,27,4,7.0,3513,1320.0,40.0,3.0,7.0,1.0,16.0
15,1,21,1,5.0,3513,3800.0,36.0,3.0,7.0,1.0,12.0
15,1,56,4,3.0,7422,1300.0,48.0,6.0,10.0,,9.0
15,1,32,2,5.0,3513,1500.0,35.0,3.0,7.0,1.0,12.0
15,2,62,4,7.0,2511,12000.0,30.0,3.0,7.0,1.0,16.0
15,1,47,2,7.0,2511,5000.0,40.0,3.0,5.0,2.0,16.0
15,1,53,4,7.0,7422,4500.0,30.0,4.0,8.0,,15.0
15,1,21,4,5.0,2166,1320.0,24.0,6.0,7.0,,12.0
15,1,18,4,5.0,7422,1200.0,40.0,3.0,10.0,2.0,12.0
15,1,37,4,5.0,3113,4200.0,38.0,6.0,3.0,,12.0
15,2,21,1,5.0,3521,200.0,10.0,3.0,7.0,2.0,12.0
15,1,51,2,2.0,7422,7320.0,68.0,3.0,2.0,1.0,7.0
15,1,28,4,5.0,3114,3200.0,40.0,6.0,10.0,,12.0
15,1,56,4,5.0,7422,2300.0,40.0,4.0,8.0,,12.0
15,1,57,1,3.0,7422,1000.0,48.0,5.0,10.0,,9.0
15,1,39,4,5.0,7422,1000.0,40.0,6.0,10.0,,12.0
15,1,29,4,2.0,7422,1000.0,40.0,6.0,10.0,,5.0
15,1,26,4,4.0,7422,2000.0,40.0,3.0,7.0,1.0,12.0
15,1,29,4,7.0,2511,3650.0,48.0,3.0,9.0,1.0,16.0
15,1,55,1,5.0,3521,2392.0,36.0,3.0,7.0,1.0,12.0
